ufcstats_id,fighter_name,date_of_birth,espn_id,sherdog_id
98e946879ba20c0f,Boston Salmon,11/20/1990,3122040,
7b433309b0fd12aa,Brad Katona,12/19/1991,4350871,
37ed1ab2f8b819f4,Brad Riddell,9/30/1991,4575873,
0c6d9ea8306c029e,Brad Tavares,12/21/1987,2504643,
cc351e408bbb7d43,Brandon Davis,5/8/1990,3960440,
792be9a24df82ed6,Brandon Moreno,12/7/1993,3027545,
6e15f63b6c2e2c15,Brandon Royval,8/16/1992,4239928,
2f181c0467965b98,Brendan Allen,12/28/1995,4025699,
ec52462a1b41f714,Brett Johns,2/21/1992,3075589,
7be14eaed4c74856,Brian Kelleher,8/19/1986,2517186,
def8166ff24bd237,Brian Ortega,2/21/1991,3045737,
b53c46f613f6f248,Brianna Van Buren,8/4/1993,3041602,
7c9f96f9a6a5cd50,Brok Weaver,12/5/1991,4044409,
294aa73dbf37d281,Bruno Silva,3/16/1990,3895544,
a331233f597090a5,Bryan Barberena,5/3/1989,3111927,
d9c6f19f958643e9,Bryce Mitchell,10/4/1994,3953381,
0ff11cc094e887bc,Cain Velasquez,7/28/1982,2335654,
8fc9ae9c7527dfcb,Callan Potter,6/9/1984,3099070,
751de04455cfaac0,Calvin Kattar,3/26/1988,3164030,23782
5f3da9a9610d8969,Cameron Else,4/27/1987,3991050,
d910665038efc639,Carla Esparza,10/10/1987,2559934,
198994b47f395af0,Carlo Pedersoli Jr.,6/8/1993,4329550,
f9f07bb5a43535ed,Carlos Condit,4/26/1984,2335243,
a2ea77e974c5889f,Carlos Felipe,1/12/1995,4257695,
225def29ecfe0fc1,Carlos Huachin,6/4/1996,4422343,
40d8b74488743800,Carlton Minus,4/26/1993,4377048,
e7bba7ce4d6c7b07,Casey Kenney,3/20/1991,4030197,
dbc17725b887860a,Cezar Ferreira,2/15/1985,2965138,
c451d67c09c55418,Chan Sung Jung,3/17/1987,2501685,
1ddb480b601cefb1,Chance Rencountre,12/31/1986,3931158,
76ee3d666c648f6b,Charles Byrd,10/11/1983,3020777,
f1d64ae34e088832,Charles Jourdain,11/27/1995,4421978,
07225ba28ae309b6,Charles Oliveira,10/17/1989,2504169,
40093d1d2d78394e,Charles Rosa,8/24/1986,3153125,
318572f6f74b760d,Charlie Ontiveros,7/4/1991,3099958,
4bd6b4800070b069,Chas Skelly,5/11/1985,2514827,
971246648e162f0d,Chase Hooper,9/13/1999,4354421,
01b352b6a9074d5c,Chase Sherman,11/16/1989,3952937,
d0aaedcf7ccd0b45,Chris Daukaus,9/25/1989,4341598,
bebb4ae55ac2bf6f,Chris Fishgold,6/6/1992,3956305,
feaf00f3373435d6,Chris Gruetzemacher,6/16/1986,2951241,
45f0cc9d18f35137,Chris Gutierrez,4/22/1991,3961293,
3a8176e15b9887c1,Chris Weidman,6/17/1984,2553993,
ae071698e1a3ccd4,Christian Aguilera,11/25/1991,3953379,
de45aaae23dfa392,Christos Giagos,1/23/1990,3089069,
787bb1f087ccff8a,Ciryl Gane,4/12/1990,4426000,
ec34349e7dffcde7,Claudia Gadelha,12/7/1988,3011878,
d747eb273a40a920,Claudio Puelles,4/21/1996,4070701,
6f7c616b98e18c29,Claudio Silva,9/6/1982,3085303,
c47df9303d318c67,Clay Guida,12/8/1981,2335674,
7f6ed67d3ed3c036,Cody Durden,3/29/1991,4686725,
d8c7c61b176e3994,Cody Garbrandt,7/7/1991,3163637,
bf7ad5628363eec9,Cody Stamann,11/9/1989,4046059,
dc9572dd6ec74859,Colby Covington,2/22/1988,3088810,
56709e66f1c6008f,Cole Smith,4/5/1989,4421295,
f9a20a17d712ef7c,Cole Williams,12/15/1983,3102126,
f4c49976c75c5ab2,Conor McGregor,7/14/1988,3022677,
5e4eec08896c9423,Corey Anderson,9/22/1989,3112020,
5f179af5fffeb9f6,Cortney Casey,5/5/1987,3910104,
3351aa64aa83c4d9,Cory McKenna,11/7/1999,4565671,
65f09bacd3957381,Cory Sandhagen,4/20/1992,4294504,
523fa774700d7d3f,Court McGee,12/12/1984,2504639,
634bb0de2eb043b4,Cristiane Justino,7/9/1985,2354564,
d247691a6c0e9034,Cub Swanson,11/2/1983,2354087,
fa6796c55d6c5440,Curtis Blaydes,2/18/1991,3922557,
f1928a52590c5532,Curtis Millender,12/1/1987,3153151,
98215d037be5bcb7,Cynthia Calvillo,7/13/1987,4085155,
ce632027bf2a871b,Dalcha Lungiambula,7/31/1987,4217382,
38c626ca912c7bac,Damir Hadzovic,8/8/1986,3077807,
135d124172a0bea3,Damir Ismagulov,2/3/1991,4215563,
29af297d9f1de0f8,Damon Jackson,8/8/1988,3099187,
193b9d1858bc4df3,Dan Hooker,2/13/1990,3109135,
82a5152216251682,Dan Ige,8/6/1991,4074001,
66e98b3bb5fc5250,Dan Moret,11/21/1986,3150680,
d967f0128c323de6,Daniel Cormier,3/20/1979,2509290,
361d49960a196976,Daniel Pineda,8/6/1985,2514828,
8a1f3b5c526cd6e6,Daniel Rodriguez,12/31/1986,4426312,
f86cb5f25d545e0e,Daniel Spitz,7/31/1990,4088505,
fbf0537e420e698e,Daniel Teymur,2/3/1988,4237238,
c3f6db17cea09ca7,Danilo Belluardo,7/21/1994,3960698,
687c15b2eddfaa63,Danilo Marques,12/26/1985,4205213,
0de720c0f1d4ab9c,Danny Chavez,3/14/1987,3890629,59478
f7d73e452b064bf2,Danny Henry,7/17/1988,4237147,
a6cba6bb66c1a8c9,Danny Roberts,7/14/1987,2968419,
025f0b1b58fbad01,Darko Stosic,2/9/1992,3996934,
92a9aa9c93192871,Darren Elkins,5/16/1984,2504168,
a17ad5a5048e8c3f,Darren Stewart,12/30/1990,4064854,
9ce6d5a03af801b7,Darren Till,12/24/1992,3897436,
34e516ab361afb1c,Darrick Minner,4/28/1990,3121961,
74f9448b97bf8bec,Da-Un Jung,12/7/1993,4389252,
113df4fde64735c6,Davey Grant,12/18/1985,3070984,
0052de90691d4a93,Davi Ramos,11/5/1986,3114625,
d2c55d1d2e67773b,David Branch,9/26/1981,2504246,
9ada30894bf04e19,David Dvorak,6/5/1992,4601431,
2747c60e42d9d75f,David Teymur,5/1/1989,3957136,
3bb2dc8e87b10a46,David Zawada,8/1/1990,3161786,
aa72b0f831d0bfe5,Deiveson Figueiredo,12/18/1987,4189320,
427b5953ac8e3a27,Demian Maia,11/6/1977,2335778,
6f242453c91a5af0,Dennis Bermudez,12/13/1986,2527805,
3f7dab21b6c971bc,Dequan Townsend,5/11/1986,4029284,
b1a3e0aca758b322,Derek Brunson,1/4/1984,2560056,
483a953b18d73bb3,Deron Winn,6/13/1989,4400662,
714e1e0681ddb703,Derrick Krantz,1/13/1988,2555489,
d3df1add9d9a7efb,Derrick Lewis,2/7/1985,2560713,
f046d724d2a84ac5,Desmond Green,10/11/1989,3039667,
cc7040fe76f0ef91,Devin Clark,4/12/1990,3971496,
207773daeb4afa7b,Devonte Smith,7/30/1993,4354425,
e9213f53ddeca978,Dhiego Lima,1/31/1989,2591297,
d7e40dca3ae125be,Diana Belbita,6/26/1996,3977987,
f53d4f21d1b5f2dc,Diego Ferreira,1/18/1985,3026133,
82e7929bf6c2b689,Diego Sanchez,12/31/1981,2335671,
75afb06215a07341,Dmitrii Smoliakov,8/5/1982,3997030,
4bf6b225ff6099c4,Domingo Pilarte,1/5/1990,3041157,
10f3ba6cd2f44a97,Dominick Cruz,3/9/1985,2335888,
2e19380f34871c6a,Dominick Reyes,12/26/1989,4233039,
68c7ad953455c73f,Don Madge,11/12/1990,4331588,
1d00756835ca67c9,Donald Cerrone,3/29/1983,2479918,
98a6b2361045898f,Dong Hyun Ma,9/9/1988,3953367,
1a9480fc288e55d7,Don'Tale Mayes,1/16/1992,4249193,
e93b04e308913c2e,Dooho Choi,4/10/1991,3093026,
3a314d9fa7c6825d,Douglas Silva de Andrade,6/22/1985,3090893,
7cbf7c78d3b34218,Drakkar Klose,3/9/1988,,
519e4fe37ce9ff75,Drew Dober,10/19/1988,,
0d7b51c9d2649a6e,Dricus Du Plessis,1/14/1994,,
d6ead04919a894b1,Duda Santana,1/10/1996,,
866fd7b1a6c90e7f,Dusko Todorovic,5/19/1994,,
e4277e87a789d687,Dustin Jacoby,4/4/1988,,
f53c1f4ceeed8c08,Dustin Ortiz,12/25/1988,,
029eaff01e6bb8f0,Dustin Poirier,1/19/1989,,
71505842fb6455c3,Dustin Stoltzfus,11/15/1991,,
8be158ca1e5ea6a0,Dwight Grant,9/14/1984,,
06f36cf4bd97ec77,Ed Herman,10/2/1980,,
fc9a9559a05f2704,Eddie Wineland,6/26/1984,,
4144798612ef96e5,Edmen Shahbazyan,11/20/1997,,
64a50dad704d1d49,Edson Barboza,1/21/1986,,
7bde387d50829adf,Eduardo Garagorri,5/28/1989,,
34f88592c0ab7a54,Elias Theodorou,5/31/1988,,
8adcbd525fab8d9b,Elizeu Zaleski dos Santos,12/11/1986,,
103b06d8707895a9,Emil Meek,8/20/1988,,
b3d21b2610dcfaeb,Emily Whitmire,5/24/1991,,
be0b310a12eb80b4,Enrique Barzola,4/28/1989,,
a0c64f272b65d441,Eric Shelton,2/2/1991,,
b9664eae2ac75262,Eric Spicely,9/29/1986,,
99bd87a300079ed9,Erik Koch,10/4/1988,,
cad24459b28592ca,Eryk Anders,4/21/1987,,
e5c9de15bb58b1c6,Evan Dunham,12/18/1981,,
492b202d2064e7a9,Fabricio Werdum,7/30/1977,,
1e4f273069fb9e85,Fares Ziam,3/21/1997,,
b6850671a008bf9a,Felice Herrig,9/18/1984,,
39d91e95949de3d9,Felicia Spencer,11/29/1990,,
dbac0a413af64bbe,Felipe Colares,3/31/1994,,
8d03ce87ca14e778,Francis Ngannou,9/5/1986,,
a8283a4f415e1eb9,Francisco Trinaldo,8/24/1978,,
764342d39cdaa54a,Frank Camacho,5/18/1989,,
f2688492b9a525a3,Frankie Edgar,10/16/1981,,
9ba2226646046b63,Frankie Saenz,8/12/1980,,
5eb50529a8418b77,Gabe Green,5/2/1993,,
436f970c9ea9169c,Gabriel Benitez,6/15/1988,,
002ca196477ce572,Gabriel Silva,8/26/1994,,
af997f7611673880,Gadzhimurad Antigulov,2/9/1987,,
da816417a579a0bd,Gavin Tucker,6/17/1986,,
b997be68943010fc,Geoff Neal,8/28/1990,,
