fight_id,ufcstats_id,round,fighter_round_knockdowns,fighter_round_sig_strikes_landed,fighter_round_sig_strikes_attempted,fighter_round_sig_strike_percentage,fighter_round_strikes_landed,fighter_round_strikes_attempted,fighter_round_strike_percentage,fighter_round_takedowns,fighter_round_takedowns_attempted,fighter_round_takedowns_percentage,fighter_round_submission_attempts,fighter_round_reversals,fighter_round_control,fighter_round_sig_strikes_head_landed,fighter_round_sig_strikes_head_attempts,fighter_round_sig_strikes_head_percentage,fighter_round_sig_strikes_body_landed,fighter_round_sig_strikes_body_attempts,fighter_round_sig_strikes_body_percentage,fighter_round_sig_strikes_leg_landed,fighter_round_sig_strikes_leg_attempts,fighter_round_sig_strikes_leg_percentage,fighter_round_sig_strikes_distance_landed,fighter_round_sig_strikes_distance_attempts,fighter_round_sig_strikes_distance_percentage,fighter_round_sig_strikes_clinch_landed,fighter_round_sig_strikes_clinch_attempts,fighter_round_sig_strikes_clinch_percentage,fighter_round_sig_strikes_ground_landed,fighter_round_sig_strikes_ground_attempts,fighter_round_sig_strikes_ground_percentage
be4890f4aaadec28,d05412b513b19621,3,0,16,32,50,17,33,51,0,0,0,0,0,0,8,24,33,3,3,100,5,5,100,16,31,51,0,1,0,0,0,0
be69cbf1f1671c8e,6a2f7c151031653d,1,0,9,26,34,22,40,55,0,2,0,0,0,128,5,19,26,2,3,66,2,4,50,8,25,32,1,1,100,0,0,0
be69cbf1f1671c8e,6a2f7c151031653d,2,0,19,36,52,25,46,54,0,2,0,0,0,31,10,26,38,7,7,100,2,3,66,18,35,51,1,1,100,0,0,0
be69cbf1f1671c8e,6a2f7c151031653d,3,0,9,22,40,13,32,40,1,6,16,0,0,106,6,16,37,2,3,66,1,3,33,9,22,40,0,0,0,0,0,0
be69cbf1f1671c8e,6a2f7c151031653d,4,0,15,23,65,28,41,68,1,6,16,0,0,108,9,17,52,1,1,100,5,5,100,13,21,61,2,2,100,0,0,0
be69cbf1f1671c8e,6a2f7c151031653d,5,0,2,3,66,2,3,66,0,0,0,0,0,0,1,2,50,0,0,0,1,1,100,2,3,66,0,0,0,0,0,0
be69cbf1f1671c8e,c814b4c899793af6,1,0,14,41,34,17,44,38,0,0,0,0,0,0,8,26,30,6,15,40,0,0,0,14,41,34,0,0,0,0,0,0
be69cbf1f1671c8e,c814b4c899793af6,2,0,17,44,38,20,48,41,0,1,0,0,0,46,6,27,22,9,15,60,2,2,100,17,43,39,0,1,0,0,0,0
be69cbf1f1671c8e,c814b4c899793af6,3,0,17,38,44,24,45,53,0,0,0,0,0,43,7,26,26,8,10,80,2,2,100,17,38,44,0,0,0,0,0,0
be69cbf1f1671c8e,c814b4c899793af6,4,0,12,27,44,27,46,58,0,0,0,0,0,87,7,17,41,4,9,44,1,1,100,11,26,42,1,1,100,0,0,0
be69cbf1f1671c8e,c814b4c899793af6,5,1,4,9,44,4,9,44,0,0,0,0,0,3,4,6,66,0,3,0,0,0,0,3,7,42,0,0,0,1,2,50
be73f75b52b06f14,601964f9654f911a,1,0,15,42,35,15,42,35,2,4,50,0,0,72,7,30,23,2,4,50,6,8,75,14,39,35,1,3,33,0,0,0
be73f75b52b06f14,601964f9654f911a,2,0,5,22,22,11,28,39,0,5,0,0,0,27,3,15,20,0,5,0,2,2,100,4,19,21,1,3,33,0,0,0
be73f75b52b06f14,601964f9654f911a,3,0,13,49,26,13,49,26,0,4,0,0,0,4,7,39,17,0,2,0,6,8,75,12,48,25,1,1,100,0,0,0
be73f75b52b06f14,bbab3baf66128ae2,1,0,17,36,47,24,43,55,1,1,100,0,0,20,7,24,29,7,9,77,3,3,100,14,31,45,3,5,60,0,0,0
be73f75b52b06f14,bbab3baf66128ae2,2,0,21,31,67,40,52,76,1,2,50,0,0,162,14,23,60,5,6,83,2,2,100,14,23,60,2,3,66,5,5,100
be73f75b52b06f14,bbab3baf66128ae2,3,0,42,82,51,42,82,51,0,1,0,0,0,11,29,66,43,12,15,80,1,1,100,41,80,51,1,2,50,0,0,0
be822403f364fff3,82a5152216251682,1,0,26,45,57,30,52,57,1,2,50,0,0,51,15,34,44,10,10,100,1,1,100,16,30,53,7,11,63,3,4,75
be822403f364fff3,82a5152216251682,2,0,4,8,50,13,19,68,0,0,0,0,0,0,1,5,20,3,3,100,0,0,0,4,8,50,0,0,0,0,0,0
be822403f364fff3,82a5152216251682,3,0,13,35,37,21,46,45,0,0,0,0,0,2,11,31,35,2,4,50,0,0,0,8,30,26,5,5,100,0,0,0
be822403f364fff3,cbd3e590a85b18c5,1,0,7,26,26,9,28,32,0,3,0,0,0,2,6,24,25,1,2,50,0,0,0,4,20,20,3,6,50,0,0,0
be822403f364fff3,cbd3e590a85b18c5,2,0,5,13,38,11,19,57,2,3,66,1,0,271,3,11,27,2,2,100,0,0,0,5,13,38,0,0,0,0,0,0
be822403f364fff3,cbd3e590a85b18c5,3,0,5,21,23,9,27,33,1,4,25,0,0,119,5,21,23,0,0,0,0,0,0,5,21,23,0,0,0,0,0,0
be8bee783d22bee2,528b071cf3da7c56,1,0,6,10,60,14,19,73,0,0,0,0,0,14,2,6,33,4,4,100,0,0,0,2,4,50,4,6,66,0,0,0
be8bee783d22bee2,528b071cf3da7c56,2,0,25,51,49,42,68,61,0,0,0,0,0,3,12,33,36,6,8,75,7,10,70,20,45,44,5,6,83,0,0,0
be8bee783d22bee2,528b071cf3da7c56,3,0,22,46,47,30,54,55,0,0,0,0,0,35,10,31,32,8,11,72,4,4,100,15,37,40,7,9,77,0,0,0
be8bee783d22bee2,8e5d953bdb9ae5e7,1,0,7,10,70,23,26,88,1,5,20,0,0,241,5,8,62,2,2,100,0,0,0,1,3,33,2,3,66,4,4,100
be8bee783d22bee2,8e5d953bdb9ae5e7,2,0,10,23,43,11,24,45,1,5,20,0,0,81,7,18,38,1,2,50,2,3,66,10,21,47,0,2,0,0,0,0
be8bee783d22bee2,8e5d953bdb9ae5e7,3,0,6,21,28,11,26,42,0,5,0,0,0,135,4,16,25,1,3,33,1,2,50,6,19,31,0,2,0,0,0,0
be94e5b7a35ce5f2,23024fdfc966410a,1,0,22,56,39,32,71,45,0,1,0,0,0,0,12,43,27,7,7,100,3,6,50,21,52,40,1,4,25,0,0,0
be94e5b7a35ce5f2,23024fdfc966410a,2,0,21,50,42,21,51,41,0,2,0,0,0,0,6,32,18,5,6,83,10,12,83,21,50,42,0,0,0,0,0,0
be94e5b7a35ce5f2,23024fdfc966410a,3,0,2,2,100,2,2,100,0,0,0,0,0,0,0,0,0,1,1,100,1,1,100,2,2,100,0,0,0,0,0,0
be94e5b7a35ce5f2,f1b2aa7853d1ed6e,1,0,31,53,58,40,65,61,0,0,0,0,0,103,10,31,32,8,9,88,13,13,100,13,34,38,3,3,100,15,16,93
be94e5b7a35ce5f2,f1b2aa7853d1ed6e,2,1,39,65,60,40,66,60,0,0,0,0,0,10,33,57,57,3,5,60,3,3,100,39,64,60,0,1,0,0,0,0
be94e5b7a35ce5f2,f1b2aa7853d1ed6e,3,1,13,18,72,13,18,72,0,0,0,0,0,12,13,17,76,0,1,0,0,0,0,2,2,100,0,0,0,11,16,68
be977e524ef56aa4,87c0b1c696ddfb43,1,0,30,64,46,35,70,50,1,1,100,0,0,42,16,47,34,11,14,78,3,3,100,21,51,41,4,5,80,5,8,62
be977e524ef56aa4,87c0b1c696ddfb43,2,0,44,68,64,74,106,69,0,3,0,0,1,149,37,61,60,3,3,100,4,4,100,13,27,48,8,10,80,23,31,74
be977e524ef56aa4,87c0b1c696ddfb43,3,0,36,90,40,45,100,45,1,3,33,0,0,22,27,80,33,4,5,80,5,5,100,32,81,39,2,5,40,2,4,50
be977e524ef56aa4,92a9aa9c93192871,1,0,11,57,19,14,60,23,1,2,50,0,0,28,9,51,17,2,6,33,0,0,0,10,55,18,1,2,50,0,0,0
