ufcstats_id,first_name,last_name,full_name,nickname,height,weight,reach,stance,wins,losses,draws,belt
80eacd4da0617c57,Joseph,Benavidez,Joseph Benavidez,,"5' 4""",125,65.0,Southpaw,28,8,0,False
a71feb7ea7592a71,Mike,Bencic,Mike Bencic,Batman,"6' 0""",215,,Orthodox,1,2,0,False
9fd1f08dd4aec14a,Dave,Beneteau,Dave Beneteau,Dangerous,"6' 2""",250,,Orthodox,6,5,1,False
6104730621ff318d,Karla,Benitez,Karla Benitez,,"5' 3""",113,,,14,11,1,False
436f970c9ea9169c,Gabriel,Benitez,Gabriel Benitez,Moggly,"5' 8""",155,71.0,Southpaw,23,13,0,False
8dc4f34c1f50d00d,Charles,Bennett,Charles Bennett,Krazy Horse,"5' 8""",155,,Orthodox,30,33,2,False
c3ac8d0da7b05772,Josh,Bennett,Josh Bennett,,"6' 4""",259,,Orthodox,11,14,0,False
404ecb2700844072,DeAnna,Bennett,DeAnna Bennett,The Argentine Assassin,"5' 4""",125,68.0,Orthodox,8,3,1,False
7030c27fc9778964,Benjamin,Bennett,Benjamin Bennett,Mr. Alaska,"6' 0""",170,73.0,Switch,7,1,0,False
5431dccc09118234,Lance,Benoist,Lance Benoist,,"5' 11""",170,72.0,Southpaw,7,2,0,False
a30f6d375dea5f9b,Joe,Benoit,Joe Benoit,,"5' 9""",170,,Orthodox,11,4,0,False
20999e27ddd94bda,Ryan,Benoit,Ryan Benoit,Baby Face,"5' 5""",125,68.0,Orthodox,10,8,0,False
a25f3dc0df974597,Pat,Benson,Pat Benson,,"5' 9""",155,,,3,5,3,False
592d23aed850e652,Len,Bentley,Len Bentley,,"5' 9""",155,,,10,6,0,False
21b1132949f2a9b0,Steve,Berger,Steve Berger,The Red Nosed Pitbull,"5' 11""",170,,Orthodox,21,23,2,False
aa8189053b3a8994,Kenneth,Bergh,Kenneth Bergh,,"6' 2""",205,74.0,Orthodox,8,0,0,False
2891c9f7b26b26fc,Bret,Bergmark,Bret Bergmark,The Angry Hick,"5' 9""",170,,,6,1,1,False
e3779ef06e98f185,Keith,Berish,Keith Berish,Sha Bang Bang,"6' 0""",205,,Orthodox,5,1,0,False
6f242453c91a5af0,Dennis,Bermudez,Dennis Bermudez,The Menace,"5' 6""",155,66.0,Orthodox,17,9,0,False
2dc1bc1a02961656,Manny,Bermudez,Manny Bermudez,The Bermudez Triangle,"5' 10""",145,71.0,Orthodox,14,2,0,False
5b2325cd70dbe2ea,Talita,Bernardo,Talita Bernardo,,"5' 4""",135,68.0,Orthodox,6,4,0,False
b3bbe88fecd6a0d2,Dave,Berry,Dave Berry,,--,,,,0,1,0,False
0b935b9bbbe5fc07,Keith,Berry,Keith Berry,,"6' 1""",185,,,15,14,1,False
0db70ca89e1c7374,Dieusel,Berto,Dieusel Berto,,"5' 9""",200,,,0,3,0,False
66766984842c13dc,Edson,Berto,Edson Berto,Little Tiger,"5' 6""",155,,Orthodox,17,12,1,False
aebfb84d1f6d2d8c,Allen,Berube,Allen Berube,Monstah Lobstah,"5' 8""",155,,Orthodox,4,3,0,False
8ba8e8d7eafa7267,Anton,Berzin,Anton Berzin,The Body Snatcher,"6' 2""",205,,Orthodox,5,1,0,False
3f24c96753dbd9f9,Scott,Bessac,Scott Bessac,,"6' 4""",245,,,4,6,0,False
0b8d512c79b4baf3,Matt,Bessette,Matt Bessette,The Mangler,"5' 10""",145,70.0,Orthodox,22,9,0,False
e05f4ce199baca91,Khadzhi,Bestaev,Khadzhi Bestaev,Best,"6' 6""",185,76.0,,10,4,0,False
a524710c3ef918fa,Fernando,Bettega,Fernando Bettega,,--,170,,,7,5,0,False
7e511f8d842a109d,Arjan,Bhullar,Arjan Bhullar,,"6' 1""",245,75.0,Orthodox,9,1,0,False
9cd047a828dd7515,KB,Bhullar,KB Bhullar,The Bengal,"6' 4""",185,78.0,Switch,8,2,0,False
87f19d19f4cb73f8,Bibulatov,Magomed,Bibulatov Magomed,Chaborz,"5' 5""",125,65.0,Orthodox,14,2,0,False
1efa064872f089d0,David,Bielkheden,David Bielkheden,,"5' 10""",155,71.0,Orthodox,24,12,0,False
5095b0920a3602aa,Blake,Bilder,Blake Bilder,El Animal,"5' 8""",145,68.0,Switch,8,2,1,False
ebbf571f349e79d9,Jonas,Bilharinho,Jonas Bilharinho,,"5' 11""",145,75.0,Switch,9,1,1,False
b3b6e80b7d5f8f0d,Jeremiah,Billington,Jeremiah Billington,,"5' 9""",205,,Orthodox,11,2,0,False
53f02bbc41d99432,Scott,Bills,Scott Bills,,"5' 10""",170,,,7,9,1,False
c5a126ace82a6025,Anthony,Birchak,Anthony Birchak,El Toro,"5' 8""",135,69.0,Orthodox,16,8,0,False
8a22c6b4d29880a3,Chris,Birchler,Chris Birchler,The Big Buck,"6' 3""",205,,Switch,7,4,0,False
7b4ae3fd439a05b6,Angad,Bisht,Angad Bisht,,"5' 7""",125,67.0,Orthodox,10,3,0,False
2b93ebd9f5417ad2,Michael,Bisping,Michael Bisping,The Count,"6' 1""",185,75.0,Orthodox,30,9,0,False
7a359ef685a304a7,Amaury,Bitetti,Amaury Bitetti,,"5' 9""",185,,Orthodox,5,2,0,False
a653cb5eb4b39339,Caio,Bittencourt,Caio Bittencourt,Leao,"6' 0""",185,75.0,Orthodox,14,7,0,False
dd6ec6f941c3a414,Davi,Bittencourt,Davi Bittencourt,The Black,"5' 5""",135,65.0,Orthodox,14,4,0,False
27ab7257bf6a3b65,Simon,Biyong,Simon Biyong,,--,205,,,7,1,0,False
99df7d0a2a08a8a8,Jan,Blachowicz,Jan Blachowicz,,"6' 2""",205,78.0,Orthodox,29,11,2,False
b2f743746e8dcfa2,Jason,Black,Jason Black,The Black Legion,"5' 8""",155,,Orthodox,23,4,1,False
7e69a4b0961aa555,Brad,Blackburn,Brad Blackburn,Bad Brad,"5' 10""",170,73.0,Orthodox,18,13,1,False
619d807fa54ae8f7,Jason,Blackford,Jason Blackford,,--,,,,3,3,0,False
2adb11835acd815b,Tom,Blackledge,Tom Blackledge,,--,205,,Orthodox,10,7,0,False
0e5c79b3594ff0ad,Sherrard,Blackledge,Sherrard Blackledge,The Thriller,"5' 11""",155,75.0,Orthodox,5,1,0,False
da22387a0407a2dc,Da'Mon,Blackshear,Da'Mon Blackshear,The Monster,"5' 10""",135,72.0,Switch,17,8,1,False
0f4a536507f33576,Chasen,Blair,Chasen Blair,Mestizo,"5' 10""",155,71.0,Orthodox,7,4,0,False
669970f7feba8ecd,Erin,Blanchfield,Erin Blanchfield,Cold Blooded,"5' 4""",125,66.0,Orthodox,14,2,0,False
4a1329cc8eb0928a,Maximo,Blanco,Maximo Blanco,Maxi,"5' 8""",145,71.0,Orthodox,12,8,1,False
ebf298f8ac7e232b,David,Blanco,David Blanco,,"5' 7""",145,,,2,0,0,False
fa6796c55d6c5440,Curtis,Blaydes,Curtis Blaydes,Razor,"6' 4""",265,80.0,Orthodox,19,5,0,False
59c438c81fbf3ece,Tereza,Bleda,Tereza Bleda,,"5' 9""",125,71.0,Orthodox,7,1,0,False
35d6337320a4ae48,Arlene,Blencowe,Arlene Blencowe,Angerfist,"5' 5""",145,,,9,6,0,False
ecdf14f4f8643d39,Byron,Bloodworth,Byron Bloodworth,,"5' 8""",135,,Orthodox,6,3,0,False
046a85108610c0d2,Dashawn,Boatwright,Dashawn Boatwright,"Buck, the 400-pound Silverback","6' 0""",205,,Orthodox,3,1,0,False
f348d05403fad037,Dan,Bobish,Dan Bobish,,"6' 2""",345,,Southpaw,17,9,0,False
cf9d24e4bd0cf2ce,Mark,Bocek,Mark Bocek,,"5' 8""",155,75.0,Orthodox,12,5,0,False
c5af5750e8bae4f0,Kyle,Bochniak,Kyle Bochniak,Killer B,"5' 7""",145,70.0,Orthodox,8,5,0,False
984d15d5dc7bfcf9,James,Bochnovic,James Bochnovic,,"6' 4""",205,81.0,Orthodox,8,3,0,False
1afd74f8cb0719f3,Jeremy,Boczulak,Jeremy Boczulak,,--,,,,0,2,0,False
c80095f6092271a7,Tim,Boetsch,Tim Boetsch,The Barbarian,"6' 0""",185,74.0,Orthodox,21,13,0,False
8a56ea383fd26e52,Galore,Bofando,Galore Bofando,,"5' 11""",170,72.0,Switch,5,3,0,False
53c21779d84ceb75,Jay,Bogan,Jay Bogan,,--,145,,,6,6,0,False
d61316139d68dbe3,Roman,Bogatov,Roman Bogatov,,"5' 8""",155,73.0,Orthodox,10,1,0,False
70a1c7626b5e0599,Derek,Bohi,Derek Bohi,Marshmallow,"6' 4""",260,,,8,5,0,False
93892752c5fc23ca,Jerry,Bohlander,Jerry Bohlander,,"5' 11""",199,,Orthodox,11,4,0,False
297a2b35444c245b,Mandy,Bohm,Mandy Bohm,Monster,"5' 7""",125,71.0,Orthodox,8,2,0,False
d227958e8a0c1466,Kotetsu,Boku,Kotetsu Boku,,"5' 9""",154,,Orthodox,25,11,2,False
96924b0019b3aff1,Gaston,Bolanos,Gaston Bolanos,The Dreamkiller,"5' 7""",135,69.0,Orthodox,8,5,0,False
9d455d5cfe6a0e35,Kyle,Bolt,Kyle Bolt,,"6' 2""",185,,,8,4,0,False
2526be54e6a0e62a,Denys,Bondar,Denys Bondar,Psycho,"5' 6""",125,69.0,Orthodox,14,5,0,False
8691881b31c16b88,Luc,Bondole,Luc Bondole,,"6' 2""",205,,,5,2,2,False
702a72aa7a266d86,Tony,Bonello,Tony Bonello,The Gun,"6' 2""",185,,,16,3,1,False
01641ba5df0c69b0,Gabriel,Bonfim,Gabriel Bonfim,Marretinha,"6' 1""",170,72.0,Orthodox,19,1,0,False
eb393afdbe3293d5,Ismael,Bonfim,Ismael Bonfim,Marreta,"5' 8""",155,71.0,Orthodox,20,6,0,False
934de214814b8ff4,Jesse,Bongfeldt,Jesse Bongfeldt,Water,"6' 0""",185,,Orthodox,16,5,1,False
d311fbefff44a39b,Marcos,Bonilla,Marcos Bonilla,Murder Marx,"5' 10""",145,,,4,4,0,False
c6a33ff198aaaeeb,Stephan,Bonnar,Stephan Bonnar,The American Psycho,"6' 4""",205,79.0,Orthodox,15,9,0,False
07a2bdaa0afdd831,Rogerio,Bontorin,Rogerio Bontorin,,"5' 5""",125,67.0,Orthodox,16,4,0,False
a4de54ea806fb525,Ray,Borg,Ray Borg,The Tazmexican Devil,"5' 4""",135,63.0,Orthodox,13,5,0,False
0313bf497de9c470,Igor,Borisov,Igor Borisov,,"6' 0""",235,,Orthodox,1,1,0,False
34b96d52db1d26e6,Kevin,Borjas,Kevin Borjas,El Gallo Negro,"5' 5""",125,68.0,Orthodox,10,4,0,False
3c85e04b08a05751,Calen,Born,Calen Born,,"5' 8""",170,72.0,Switch,7,1,0,False
4126a78111c0855a,Caio,Borralho,Caio Borralho,The Natural,"6' 1""",185,75.0,Southpaw,17,2,0,False
b8fdb2903a2582a8,Zachary,Borrego,Zachary Borrego,The Dragon,"6' 2""",185,78.0,Switch,3,1,0,False
19c591115a58982c,Viacheslav,Borshchev,Viacheslav Borshchev,Slava Claus,"5' 11""",155,69.0,Orthodox,8,7,1,False
04c8b08b16a5b99e,Tanner,Boser,Tanner Boser,The Bulldozer,"6' 2""",205,75.0,Orthodox,21,10,1,False
e023fa2e648ea0f1,Steve,Bosse,Steve Bosse,The Boss,"5' 11""",205,72.0,Orthodox,12,2,0,False
e8fb8e53bc2e29d6,Marcus,Bossett,Marcus Bossett,The Grasshopper,"6' 1""",215,,Orthodox,1,3,0,False
239224bedeb2c7a4,Chris,Bostick,Chris Bostick,,--,,,,6,3,0,False
5c126c6aac3ef364,Poliana,Botelho,Poliana Botelho,,"5' 8""",125,67.0,Orthodox,8,5,0,False
545d549d6bf87187,Francois,Botha,Francois Botha,White Buffalo,"6' 2""",260,,Orthodox,0,1,0,False
d5e929c26f25f0d3,Ilian,Bouafia,Ilian Bouafia,The Gorilla,"6' 5""",185,78.0,Southpaw,7,0,0,False
59851163aaf1aed8,Gregory,Bouchelaghem,Gregory Bouchelaghem,,"6' 2""",183,,Switch,5,4,0,False
2aaf0181432adf0b,Roy,Boughton,Roy Boughton,Black Dynamite,"6' 0""",205,,,14,8,0,False
611b9c068c9e2c44,Rich,Bouphanouvong,Rich Bouphanouvong,,"5' 7""",170,,,1,4,0,False
dfdd0c5dd0d4bc23,Mike,Bourke,Mike Bourke,The Rhino,"6' 0""",275,,Orthodox,10,16,1,False
